Qualification,Experience,Rating,Place,Profile,Miscellaneous_Info,Fees
"MBBS, MD - Medicine",23 years experience,,"Deonar, Mumbai",General Medicine,,500
BAMS,19 years experience,,"KR Puram, Bangalore",Ayurveda,,50
BHMS,10 years experience,,"Pammal, Chennai",Homeopath,,150
BAMS,37 years experience,,"Dharavi, Mumbai",Ayurveda,,100
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",13 years experience,,"Adyar, Chennai",ENT Specialist,Tonsillectomy Tonsillitis Treatment Tongue Tie Release,500
MBBS,54 years experience,,"Royapuram, Chennai",General Medicine,,100
"MBBS, MS - General Surgery",46 years experience,,"Pappanaickenpalayam, Coimbatore",General Medicine,,100
"MBBS, Diploma in Medical Radio-Diagnosis",23 years experience,,"Punjabi Bagh, Delhi",General Medicine,,100
BHMS,10 years experience,96%,"Shakarpur, Delhi",Homeopath,"96% 23 Feedback Shakarpur, Delhi",400
"MBBS, MD - Dermatology , Venereology & Leprosy",5 years experience,,"South Extension 1, Delhi",Dermatologists,Atopic Dermatitis Treatment Acne / Pimples Treatment Leprosy Treatment/Rehab,600
"MBBS, DEMS",22 years experience,,"Banjara Hills, Hyderabad",General Medicine,,450
BDS,4 years experience,,"Thoraipakkam, Chennai",Dentist,Tooth Coloured Fillings Scaling / Polishing Dental screening and prophylaxis,200
"BAMS, MD - Ayurveda Medicine",17 years experience,96%,"Vikas Puri, Delhi",Ayurveda,,100
BDS,6 years experience,100%,"Gachibowli, Hyderabad",Dentist,Dental Crowns Scaling / Polishing Smile Design,300
"MBBS, MS - ENT",44 years experience,,"Karol Bagh, Delhi",ENT Specialist,,650
BAMS,29 years experience,,"Jogeshwari East, Mumbai",Ayurveda,,100
"BDS, MDS - Orthodontics",6 years experience,100%,"Shaikpet, Hyderabad",Dentist,Lingual Orthodontics Orthognathic Surgery Paediatrics - Ortho,200
"BDS, MDS - Oral Medicine and Radiology",16 years experience,99%,"Ramanthapur, Hyderabad",Dentist,dental implants RCT - Root Canal Treatment Crowns and Bridges Fixing,150
"MBBS, MD - Dermatology, DDV, DNB",19 years experience,,"Banashankari 3rd Stage, Bangalore",Dermatologists,,100
MBBS,45 years experience,,"Pattom, Thiruvananthapuram",General Medicine,,100
"BDS, MDS - Conservative Dentistry & Endodontics",16 years experience,99%,"JP Nagar 1 Phase, Bangalore",Dentist,Impaction / Impacted Tooth Extraction Crowns and Bridges Fixing Complete/Partial Dentures Fixing,200
"MBBS, MD - General Medicine, DNB - General Medicine",9 years experience,90%,"Yelahanka, Bangalore",General Medicine,"90% 9 Feedback Yelahanka, Bangalore",300
"MBBS, MD - Dermatology",21 years experience,91%,"Dwarka, Delhi",Dermatologists,"91% 59 Feedback Dwarka, Delhi",600
"DDVL, MBBS",7 years experience,97%,"Whitefield, Bangalore",Dermatologists,"97% 40 Feedback Whitefield, Bangalore",500
"MD - Homeopathy, MBS (H)",34 years experience,,"Kothapet, Hyderabad",Homeopath,,300
"MBBS, MS - ENT",11 years experience,,"Musheerabad, Hyderabad",ENT Specialist,,300
"MBBS, MD - Dermatology",27 years experience,87%,"Greater Kailash Part 1, Delhi",Dermatologists,"87% 33 Feedback Greater Kailash Part 1, Delhi",100
"MBBS, MD - General Medicine",22 years experience,,"St Thomas Mount, Chennai",General Medicine,,200
BAMS,9 years experience,95%,"Kalkaji, Delhi",Ayurveda,Male Sexual Problems Female Sexual Problems Pre-Marital Counselling,600
"MBBS, DVD, FIAMS, MD - Dermatology",22 years experience,95%,"HSR Layout, Bangalore",Dermatologists,"95% 122 Feedback HSR Layout, Bangalore",400
"BDS, MDS - Conservative Dentistry & Endodontics, Certified in Pedodontics",13 years experience,99%,"Dwarka, Delhi",Dentist,Crowns and Bridges Fixing Impaction / Impacted Tooth Extraction Conservative Dentistry,300
"MBBS, DDVL",17 years experience,93%,"Electronics City, Bangalore",Dermatologists,"93% 7 Feedback Electronics City, Bangalore",350
MBBS,30 years experience,,"Malad East, Mumbai",General Medicine,,70
"MBBS, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",50 years experience,,"Santacruz East, Mumbai",General Medicine,,500
BAMS,8 years experience,97%,"Model Town, Delhi",Ayurveda,"97% 13 Feedback Model Town, Delhi",400
"MBBS, Post Graduate Diploma in Diabetology (PGDD)",30 years experience,,"Andheri West, Mumbai",General Medicine,,250
MBBS,36 years experience,,"Edapally North, Ernakulam",General Medicine,,100
"MBBS, MD - General Medicine",37 years experience,,"Tilak Nagar, Delhi",General Medicine,,800
"MBBS, MD - Dermatology , Venereology & Leprosy",20 years experience,,"Civil Lines, Delhi",Dermatologists,Scar Treatment Acne / Pimples Treatment Wart Removal,500
"DNB - Dermatology & Venereology, DVD, MBBS",14 years experience,,"Peddar Road, Mumbai",Dermatologists,Anti Aging Treatment Wrinkle Treatment keloid/scar treatment,500
"B.Sc, MBBS",38 years experience,,"Vikas Puri, Delhi",General Medicine,,400
"MBBS, MD - Dermatology",14 years experience,100%,"Kakkanad, Ernakulam",Dermatologists,"100% 19 Feedback Kakkanad, Ernakulam",300
"MBBS, MS - Otorhinolaryngology",34 years experience,85%,"New Rajendra Nagar, Delhi",ENT Specialist,"85% 10 Feedback New Rajendra Nagar, Delhi",100
"MBBS, Diploma in Child Health (DCH), MRCGP, Diploma in Dermatology",22 years experience,98%,"Anna Nagar, Chennai",General Medicine,"98% 29 Feedback Anna Nagar, Chennai",500
MBBS,41 years experience,,"Ambattur, Chennai",General Medicine,,150
"MBBS, MNAMS (Membership of the National Academy), DNB - Otorhinolaryngology, FICS - ENT",19 years experience,88%,"Whitefield, Bangalore",ENT Specialist,Skull Base Surgery Ear Micro Surgery Vertigo/Dizziness,600
"MBBS, MD - Dermatology",32 years experience,95%,"Dadar East, Mumbai",Dermatologists,"95% 73 Feedback Dadar East, Mumbai",100
"BAMS, Certificate in Child Health (CCH), CGO, MD - Alternate Medicine, Diploma in Dermatology",10 years experience,,"Bhandup West, Mumbai",Ayurveda,,100
"MBBS, Diploma in Otorhinolaryngology (DLO)",6 years experience,97%,"Kompally, Hyderabad",General Medicine,"97% 14 Feedback Kompally, Hyderabad",200
BDS,8 years experience,,"Begumpet, Hyderabad",Dentist,Cosmetic/ Aesthetic Dentistry Oral & Maxillofacial Surgery Inlays and Onlays,150
BDS,2 years experience,,"Sreekaryam, Thiruvananthapuram",Dentist,,150
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",23 years experience,,"Triplicane, Chennai",ENT Specialist,,250
BDS,0 years experience,,"Sowripalayam, Coimbatore",Dentist,,100
"MBBS, MD - Dermatology",16 years experience,85%,"Patparganj, Delhi",Dermatologists,"Peel, Polishing, Lasers Photofacial Sun Spots, Age Spots, And Other Pigmented Lesions",700
"BDS, MDS - Periodontics",4 years experience,,"Jubilee Hills, Hyderabad",Dentist,Periodontal Flap Surgery Cosmetic/ Aesthetic Dentistry Dental Fillings,350
"MBBS, FRHS , Master of Health Sciences (MHSc)",11 years experience,100%,"Kolathur, Chennai",General Medicine,"100% 4 Feedback Kolathur, Chennai",300
"M.Sc - Biochemistry, BHMS",11 years experience,100%,"Nanganallur, Chennai",Homeopath,"100% 3 Feedback Nanganallur, Chennai",200
"BAMS, MS - Psychology",10 years experience,,"Ayanavaram, Chennai",Ayurveda,,150
"MBBS, MD - General Medicine",35 years experience,,"Worli, Mumbai",General Medicine,,600
"MBBS, MS - ENT, Diploma in Otorhinolaryngology (DLO), Fellow of the Royal College of Surgeons of Ireland",25 years experience,93%,"August Kranti Marg, Delhi",ENT Specialist,"93% 36 Feedback August Kranti Marg, Delhi",100
"MBBS, DVD, DDV, MD - Dermatology",42 years experience,83%,"Chembur East, Mumbai",Dermatologists,"83% 10 Feedback Chembur East, Mumbai",100
"BDS, MDS",22 years experience,94%,"New Thippasandra, Bangalore",Dentist,Smile Design Teeth Whitening Tooth Coloured Fillings,400
"MD - Dermatology , Venereology & Leprosy, MBBS",6 years experience,100%,"Richmond Town, Bangalore",Dermatologists,"100% 23 Feedback Richmond Town, Bangalore",600
"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine, DNB - Respiratory Diseases",20 years experience,,"Chetpet, Chennai",General Medicine,,500
BHMS,16 years experience,,"Kadugodi, Bangalore",Homeopath,,300
BAMS,12 years experience,100%,"Nagarbhavi, Bangalore",Ayurveda,"100% 1 Feedback Nagarbhavi, Bangalore",150
"MBBS, MD - Medicine",16 years experience,,"Chanakyapuri, Delhi",General Medicine,,850
"MS - ENT, Diploma in Otorhinolaryngology (DLO), MBBS",40 years experience,,"Mulund West, Mumbai",ENT Specialist,Laryngoscopy Microsurgery of the Larynx Functional Endoscopic Sinus Surgery - FESS,100
"MBBS, DDVL",13 years experience,92%,"Basaveshwaranagar, Bangalore",Dermatologists,"92% 8 Feedback Basaveshwaranagar, Bangalore",300
BDS,34 years experience,100%,"T Nagar, Chennai",Dentist,"100% 17 Feedback T Nagar, Chennai",300
"MBBS, MD - Dermatology , Venereology & Leprosy",19 years experience,,"Aminjikarai, Chennai",Dermatologists,,300
BHMS,9 years experience,100%,"Sarjapur Road, Bangalore",Homeopath,"100% 10 Feedback Sarjapur Road, Bangalore",200
BHMS,7 years experience,,"Shalimar Bagh, Delhi",Homeopath,,200
"MBBS, MD - General Medicine",18 years experience,,"Saket, Delhi",General Medicine,Consultation Diabetes Management Fever Treatment,100
BHMS,5 years experience,,"Malleswaram, Bangalore",Homeopath,,100
"BDS, MDS - Prosthodontist & Oral Implantologist",11 years experience,98%,"Gowrivakkam, Chennai",Dentist,Artificial Teeth Impaction / Impacted Tooth Extraction BPS Dentures Fixing,100
BDS,13 years experience,100%,"Porur, Chennai",Dentist,Acrylic Partial Denture Artificial Teeth BPS Dentures Fixing,300
"BAMS, MD - Ayurveda Medicine",39 years experience,,"Hyderguda, Hyderabad",Ayurveda,,300
"MBBS, MD - Internal Medicine",28 years experience,99%,"Rohini, Delhi",General Medicine,Type 1 Diabetes Treatment Diabetes Renal Failure Diabetes Management,700
BAMS,13 years experience,,"Dahisar East, Mumbai",Ayurveda,,80
"MBBS, MS - Otorhinolaryngology, DNB - Otorhinolaryngology, FRCS - Otolaryngology",28 years experience,91%,"Vasant Vihar, Delhi",ENT Specialist,"91% 38 Feedback Vasant Vihar, Delhi",100
"BAMS, MD - Ayurveda Medicine, PhD- Ayurveda",29 years experience,,"Rajajinagar, Bangalore",Ayurveda,,200
"BDS, MDS - Periodontology and Oral Implantology",13 years experience,100%,"Dwarka, Delhi",Dentist,Acrylic Partial Denture Crowns and Bridges Fixing Artificial Teeth,500
MBBS,38 years experience,,"Vikhroli East, Mumbai",General Medicine,,50
"DNHE, BAMS",7 years experience,,"Keshav Puram, Delhi",Ayurveda,,50
"BDS, MDS",24 years experience,97%,"New Friends Colony, Delhi",Dentist,,500
"MBBS, MS - ENT",23 years experience,,"Adarsh Nagar, Delhi",ENT Specialist,,300
MBBS,45 years experience,,"Moti Nagar, Hyderabad",General Medicine,,150
BDS,0 years experience,,"Sowripalayam, Coimbatore",Dentist,,100
"MBBS, MS - ENT",18 years experience,96%,"Kandivali East, Mumbai",ENT Specialist,"96% 71 Feedback Kandivali East, Mumbai",100
"DNB - Dermatology, Venereology & Leprosy",10 years experience,,"Andheri West, Mumbai",Dermatologists,,100
"BDS, Fundamental in Oral Implantology",5 years experience,100%,"Richmond Town, Bangalore",Dentist,Digital Dental X-Ray Digital Autoclave for complete sterilization Tooth Coloured Fillings,400
"BDS, Certificate in Dental Implants",5 years experience,98%,"Borivali West, Mumbai",Dentist,Crowns and Bridges Fixing Cosmetic Veneers/Bonding Dental Implant Fixing,100
BHMS,10 years experience,,"Kandivali East, Mumbai",Homeopath,,50
BDS,10 years experience,99%,"Koramangala, Bangalore",Dentist,Acrylic Partial Denture Artificial Teeth Impaction / Impacted Tooth Extraction,300
"MBBS, MD - Dermatology",12 years experience,96%,"RK Puram, Delhi",Dermatologists,"96% 7 Feedback RK Puram, Delhi",100
BDS,9 years experience,99%,"Kalkaji, Delhi",Dentist,"99% 84 Feedback Kalkaji, Delhi",200
"MBBS, MS - ENT",40 years experience,,"Jubilee Hills, Hyderabad",ENT Specialist,,600
"MBBS, MS - ENT, DNB - ENT",20 years experience,97%,"Mulund West, Mumbai",ENT Specialist,Tonsillitis Treatment Tympanoplasty Frontal Sinus Surgery,100
"MBBS, Diploma in Dermatology",17 years experience,,"Red Hills, Hyderabad",Dermatologists,,250
BAMS,6 years experience,,"Porur, Chennai",Ayurveda,Treatments for neurological conditions Treatment for psychiatric conditions Obstetric and gynecological care,500
"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",30 years experience,,"Tambaram East, Chennai",General Medicine,,200
"BDS, MDS - Oral Medicine and Radiology",14 years experience,,"Kandivali East, Mumbai",Dentist,Dentist Cosmetic/ Aesthetic Dentistry Impaction / Impacted Tooth Extraction,300
BDS,7 years experience,,"Shivalik, Delhi",Dentist,Dental Fillings Zirconia Crowns Dental Implant Fixing,250
"BDS, MDS - Periodontics",22 years experience,98%,"Mayur Vihar Ph-I, Delhi",Dentist,"98% 16 Feedback Mayur Vihar Ph-I, Delhi",200
"MBBS, DNB - General Medicine",13 years experience,100%,"Hulimavu, Bangalore",General Medicine,"100% 45 Feedback Hulimavu, Bangalore",300
BAMS,8 years experience,94%,"Punjagutta, Hyderabad",Ayurveda,"94% 38 Feedback Punjagutta, Hyderabad",500
BAMS,2 years experience,,"IDA Jeedimetla, Hyderabad",Ayurveda,,100
BAMS,3 years experience,,"Wilson Garden, Bangalore",Ayurveda,,300
BHMS,12 years experience,100%,"Saket, Delhi",Homeopath,"100% 25 Feedback Saket, Delhi",200
MBBS,39 years experience,,"Nanganallur, Chennai",General Medicine,,350
BHMS,2 years experience,,"Madhu Vihar, Delhi",Homeopath,,200
"MBBS, DDV",24 years experience,93%,"Basavanagudi, Bangalore",Dermatologists,"93% 6 Feedback Basavanagudi, Bangalore",250
"MBBS, MS - ENT, DNB - ENT",16 years experience,,"Okhla, Delhi",ENT Specialist,Nasal Endoscopy Tonsillitis Treatment Tonsillectomy,100
"BDS, MBA - Hospital Management, Certified Advance Course In Endodontics",6 years experience,98%,"Defence Colony, Delhi",Dentist,Sedation Dentistry Dental X-Ray Fixed Prosthodontics,500
"MBBS, MS - ENT, DNB - ENT",18 years experience,,"T Nagar, Chennai",ENT Specialist,,300
"BDS, MDS - Periodontology and Oral Implantology",18 years experience,,"Angamaly, Ernakulam",Dentist,,100
BAMS,7 years experience,,"Sahakaranagar, Bangalore",Ayurveda,,100
"BDS, MDS, Post Graduate Certificate in Endodontics (PGCE)",9 years experience,100%,"HSR Layout, Bangalore",Dentist,Bone Grafting for Dental Implants Scaling / Polishing Orthodontic Treatment,100
"MBBS, MD - General Medicine",17 years experience,,"Ameerpet, Hyderabad",General Medicine,,200
"MD - Dermatology , Venereology & Leprosy, MBBS",18 years experience,70%,"Panampilly Nagar, Ernakulam",Dermatologists,"70% 1 Feedback Panampilly Nagar, Ernakulam",600
"MBBS, MD - Dermatology",13 years experience,86%,"Shalimar Bagh, Delhi",Dermatologists,Fillers Dermabrasion Laser Resurfacing,800
"MBBS, MD - Dermatology , Venereology & Leprosy",9 years experience,96%,"Sarita Vihar, Delhi",Dermatologists,"96% 60 Feedback Sarita Vihar, Delhi",500
"MBBS, Diploma in Dermatology",18 years experience,94%,"Tambaram, Chennai",Dermatologists,"94% 86 Feedback Tambaram, Chennai",250
MD - Dermatology,16 years experience,97%,"Dwarka, Delhi",Dermatologists,"97% 99 Feedback Dwarka, Delhi",400
"Doctorate of Medicine in Electro Homoeopathy(MDEH), BEMS",18 years experience,,"Laxmi Nagar, Delhi",Homeopath,,500
"MD - Dermatology, MBBS",3 years experience,,"West Mambalam, Chennai",Dermatologists,,300
BAMS,10 years experience,,"Yelahanka, Bangalore",Ayurveda,,300
BHMS,12 years experience,100%,"Opera House, Mumbai",Homeopath,"100% 2 Feedback Opera House, Mumbai",100
"BDS, MDS",16 years experience,100%,"Pitampura, Delhi",Dentist,Crowns and Bridges Fixing Complete/Partial Dentures Fixing Tooth Extraction,250
BAMS,22 years experience,94%,"Punjagutta, Hyderabad",Ayurveda,"94% 119 Feedback Punjagutta, Hyderabad",500
"MD - General Medicine, MBBS",34 years experience,,"Vileparle West, Mumbai",General Medicine,"Vileparle West, Mumbai ₹800 Available Today",800
"MD - Dermatology , Venereology & Leprosy, MBBS",4 years experience,,"Mahadevapura, Bangalore",Dermatologists,Leprosy Treatment/Rehab Skin Care Bacterial Skin Infection Treatment,500
"MRCS (UK), MBBS",2 years experience,,"Mettupalayam, Coimbatore",General Medicine,,150
"BAMS, MD - Ayurveda Medicine",41 years experience,,"Vanasthalipuram, Hyderabad",Ayurveda,,100
"MBBS, D.D, DDVL",17 years experience,71%,"AS Rao Nagar, Hyderabad",Dermatologists,"Anti Aging Treatment Sun Spots, Age Spots, And Other Pigmented Lesions Hyper Pigmentation Treatment",300
"MDS - Conservative Dentistry & Endodontics, BDS, Certificate in Dental Implants",22 years experience,,"Saket, Delhi",Dentist,RCT - Root Canal Treatment Dental Implant Fixing Conservative Dentistry,800
"MBBS, MD - Dermatology , Venereology & Leprosy",3 years experience,,"Malakpet, Hyderabad",Dermatologists,Dermabrasion Wrinkle Treatment Microdermabrasion,100
"BDS, MDS",18 years experience,,"R.S. Puram, Coimbatore",Dentist,,100
"MBBS, DNB - General Medicine, Fellowship of College of General Practice (FCGP), FCCS, Post Graduate Diploma in Diabetology (PGDD)",15 years experience,71%,"Moti Nagar, Hyderabad",General Medicine,,150
MDS - Oral & Maxillofacial Surgery,32 years experience,,"Vileparle West, Mumbai",Dentist,Oral Surgery Procedures Oral & Maxillofacial Surgery Alveolectomy,500
"MBBS, MD - Dermatology, DDV",25 years experience,,"Dadar West, Mumbai",Dermatologists,,800
"MBBS, MD - Skin,VD & Leprosy",30 years experience,,"Dwarka, Delhi",Dermatologists,"2 Feedback Dwarka, Delhi ₹500",500
"MBBS, Diploma in Child Health (DCH)",41 years experience,,"Habsiguda, Hyderabad",General Medicine,,200
"MBBS, MS - ENT",7 years experience,,"Sion, Mumbai",ENT Specialist,,500
"MBBS, Diploma in Dermatology",14 years experience,96%,"Vanasthalipuram, Hyderabad",Dermatologists,"96% 33 Feedback Vanasthalipuram, Hyderabad",400
"BAMS, DSM ( Siddha Medicine), Diploma in Emergency Medicine",24 years experience,96%,"Koramangala 6 Block, Bangalore",Ayurveda,Pizhichil Ayurvedic Surgery Njavarakizhi,200
DDVL,4 years experience,99%,"Bandra West, Mumbai",Dermatologists,"99% 34 Feedback Bandra West, Mumbai",100
"BHMS, CGO",5 years experience,,"Malkajgiri, Hyderabad",Homeopath,Skin Disease Treatment Kidney Stone Treatment Gall Bladder (Biliary) Stone Treatment,150
"BDS, MDS - Periodontics",17 years experience,98%,"Kondapur, Hyderabad",Dentist,Acrylic Partial Denture Impaction / Impacted Tooth Extraction Cast Partial Denture,300
"MRCP (UK), Diploma in Dermatology, MBBS",9 years experience,,"Madhapur, Hyderabad",Dermatologists,,650
"DNB - ENT, Diploma in Otorhinolaryngology (DLO), MBBS",23 years experience,88%,"Whitefield, Bangalore",ENT Specialist,endoscopic evaluation of nose microscopic evaluation of ears Nasal Endoscopy,600
"MBBS, DDV",43 years experience,,"Bandra West, Mumbai",General Medicine,,300
MS - Otorhinolaryngology,6 years experience,,"Madhapur, Hyderabad",ENT Specialist,,400
